forecast_date,year,state,seat_number,r_prob,r_pct_05,r_avg,r_pct_95
2026-04-19,2026,Indiana,5,0.9692,0.5108359275000001,0.588483547703,0.6641231465
2026-04-19,2026,Indiana,6,0.9999,0.5746458445000001,0.651759085955,0.728986311
2026-04-19,2026,Indiana,7,0,0.193406668,0.266494982203,0.34116082799999997
2026-04-19,2026,Indiana,8,0.9997,0.5934699795,0.66899654019200006,0.744953594
2026-04-19,2026,Indiana,9,0.9992,0.566355959,0.642736004091,0.717413007
2026-04-19,2026,Iowa,1,0.7099,0.4550752362479192,0.5231896778857599,0.5936249213593162
2026-04-19,2026,Iowa,2,0.7477,0.4566385365,0.530724961844,0.6045882365
2026-04-19,2026,Iowa,3,0.5652,0.4374168737683295,0.5069729457545488,0.5764385455177027
2026-04-19,2026,Iowa,4,0.9983,0.5568414930000001,0.632174254927,0.7047407434999999
2026-04-19,2026,Kansas,1,0.9994,0.5778566075000002,0.653968121949,0.7302360404999999
2026-04-19,2026,Kansas,2,0.9825,0.5216483705,0.597528176284,0.6735149424999999
2026-04-19,2026,Kansas,3,0.0439,0.3513614765,0.424387190887,0.4972567435
2026-04-19,2026,Kansas,4,0.9952,0.5438513775,0.620257935526,0.695718286
2026-04-19,2026,Kentucky,1,0.9999,0.6385224324999998,0.71512696812,0.7906705449999999
2026-04-19,2026,Kentucky,2,1,0.6163247114999999,0.692591543577,0.7678058555
2026-04-19,2026,Kentucky,3,9e-4,0.286345426,0.359276638264,0.4331092585
2026-04-19,2026,Kentucky,4,0.9998,0.5842896949999999,0.661287596666,0.7387700349999999
2026-04-19,2026,Kentucky,5,1,0.701213299,0.77910030399,0.85752844
2026-04-19,2026,Kentucky,6,0.9169,0.489095608,0.561248311052,0.6338875820000001
2026-04-19,2026,Louisiana,1,1,0.6114464885,0.689416936482,0.7663907935
2026-04-19,2026,Louisiana,2,0,0.2232507075,0.295753720986,0.370119316
2026-04-19,2026,Louisiana,3,1,0.6288961205,0.707085000409,0.7852090334999999
2026-04-19,2026,Louisiana,4,1,0.6544133415,0.730496349824,0.8084244455
2026-04-19,2026,Louisiana,5,1,0.590936989,0.665079238874,0.7386116175
2026-04-19,2026,Louisiana,6,0.0025,0.297862863,0.371247427878,0.445678991
2026-04-19,2026,Maine,1,4e-4,0.27757717400000004,0.351329355644,0.4246845305
2026-04-19,2026,Maine,2,0.5992,0.437220199,0.51081304219,0.5851693134999999
2026-04-19,2026,Maryland,1,0.976,0.5144347444999999,0.592053319898,0.667249673
2026-04-19,2026,Maryland,2,0.0017,0.2940118795,0.367349159726,0.4395689199999997
2026-04-19,2026,Maryland,3,2e-4,0.2730416745,0.346868809088,0.418647772
2026-04-19,2026,Maryland,4,0,0.04046456064999999,0.111517677200436,0.185036293
2026-04-19,2026,Maryland,5,0,0.23657763600000004,0.310469552721,0.3840597025
2026-04-19,2026,Maryland,6,0.053,0.3519395815,0.425313653633,0.5010587164999999
2026-04-19,2026,Maryland,7,0,0.101737207,0.17539058813912,0.249250084
2026-04-19,2026,Maryland,8,0,0.120232701,0.19430473446766,0.26840237
2026-04-19,2026,Massachusetts,1,0.001,0.2929727935,0.366419366121,0.4394693125
2026-04-19,2026,Massachusetts,2,0,0.24901287350000004,0.322786811557,0.3967976005
2026-04-19,2026,Massachusetts,3,5e-4,0.268565544,0.343557946682,0.4180247365
