party,margin_diff,seats,prob
rep,-0.010000000000000009,53,0.0227
rep,-0.010000000000000009,54,0.0047
rep,-0.010000000000000009,55,8e-4
rep,0,44,2e-4
rep,0,45,0.0015
rep,0,46,0.0039
rep,0,47,0.0271
rep,0,48,0.0878
rep,0,49,0.1834
rep,0,50,0.2673
rep,0,51,0.2382
rep,0,52,0.1312
rep,0,53,0.0477
rep,0,54,0.01
rep,0,55,0.0015
rep,0,56,2e-4
rep,0.009999999999999995,45,3e-4
rep,0.009999999999999995,46,0.0023
rep,0.009999999999999995,47,0.0113
rep,0.009999999999999995,48,0.0456
rep,0.009999999999999995,49,0.1325
rep,0.009999999999999995,50,0.2301
rep,0.009999999999999995,51,0.286
rep,0.009999999999999995,52,0.1878
rep,0.009999999999999995,53,0.0771
rep,0.009999999999999995,54,0.0217
rep,0.009999999999999995,55,0.0046
rep,0.009999999999999995,56,7e-4
rep,0.01999999999999999,46,8e-4
rep,0.01999999999999999,47,0.0024
rep,0.01999999999999999,48,0.0211
rep,0.01999999999999999,49,0.0804
rep,0.01999999999999999,50,0.1862
rep,0.01999999999999999,51,0.2745
rep,0.01999999999999999,52,0.2455
rep,0.01999999999999999,53,0.1325
rep,0.01999999999999999,54,0.0439
rep,0.01999999999999999,55,0.011
rep,0.01999999999999999,56,0.0017
rep,0.03,47,8e-4
rep,0.03,48,0.0083
rep,0.03,49,0.0407
rep,0.03,50,0.1258
rep,0.03,51,0.2512
rep,0.03,52,0.2732
rep,0.03,53,0.1955
rep,0.03,54,0.0757
rep,0.03,55,0.0235
rep,0.03,56,0.0048
rep,0.03,57,4e-4
rep,0.03,58,1e-4
rep,0.04000000000000001,47,5e-4
rep,0.04000000000000001,48,0.0032
rep,0.04000000000000001,49,0.0192
rep,0.04000000000000001,50,0.0721
rep,0.04000000000000001,51,0.1992
rep,0.04000000000000001,52,0.2747
rep,0.04000000000000001,53,0.2462
rep,0.04000000000000001,54,0.1282
rep,0.04000000000000001,55,0.0453
rep,0.04000000000000001,56,0.0102
rep,0.04000000000000001,57,0.0011
rep,0.04000000000000001,58,1e-4
rep,0.04999999999999999,47,1e-4
rep,0.04999999999999999,48,5e-4
rep,0.04999999999999999,49,0.0061
rep,0.04999999999999999,50,0.0412
rep,0.04999999999999999,51,0.1371
rep,0.04999999999999999,52,0.2521
rep,0.04999999999999999,53,0.279
rep,0.04999999999999999,54,0.1814
rep,0.04999999999999999,55,0.0768
rep,0.04999999999999999,56,0.0217
rep,0.04999999999999999,57,0.0039
rep,0.04999999999999999,58,1e-4
rep,0.06,48,6e-4
rep,0.06,49,0.0023
rep,0.06,50,0.0172
rep,0.06,51,0.0817
rep,0.06,52,0.1991
rep,0.06,53,0.2805
rep,0.06,54,0.2378
rep,0.06,55,0.1246
rep,0.06,56,0.0452
rep,0.06,57,0.0096
rep,0.06,58,0.0013
rep,0.06,59,1e-4
rep,0.07,49,6e-4
